;263;1002;Andres;150;12/2/2019/9/5;48581400;3405532;27651008;44083200;123721140;poollo,10000,;Easy of band,5701,;Globos,700,;Sillas,8900,;4548;
;982;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;308;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;705;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;150;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;123;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;701;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;379;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;169;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;843;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;87;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;475;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;800;454;saraaaa;4848;12/2/2019/5/20;0;0;0;0;0;;;;;4548;
;1019;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;321;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;32;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;275;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;913;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;889;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;471;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;1;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;1007;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;835;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;338;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;182;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;789;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;636;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;939;454;saraaaa;4848;12/2/2019/20/5;0;0;0;0;0;;;;;4548;
;960;454;saraaaa;4848;12/2/2019/2/4;0;33947932;0;0;33947932;;;bombas,7000,;;4548;
;218;454;saraaaa;4848;12/2/2019/2/5;0;33947932;0;0;33947932;;;bombas,7000,;;4548;
;848;454;saraaaa;4848;12/2/2019/3/2;572931521;33947932;55289456;87230400;749399309;andres,78965555,;dxcfgvhbj,5701,dxcfgvhbj,5701,;bombas,7000,;tyyy,8900,tyyy,8900,;4548;
